gene_id,R16b,T_M2,T_M4C,T_M5,T_M7,T_R11B,T_R15B,T_R9D
plut2.m8.12384,1027,744,299,204,605,505,536,521
plut2.m8.12385,1179,1369,1056,914,2079,943,1856,1022
plut2.m8.17158,383,425,494,393,635,423,422,227
plut2.m8.12387,63,16,58,32,32,20,91,43
plut2.m8.10728,200,964,16,63,176,208,331,49
plut2.m8.10729,6905,2968,1626,1550,2797,1630,4087,1664
plut2.m8.10720,2186,4788,3306,1799,4347,1790,2730,1479
plut2.m8.10721,3291,4123,6631,4413,7374,2573,6298,2228
plut2.m8.10722,411,322,225,105,414,500,748,172
plut2.m8.10723,0,3,8,0,34,0,0,0
plut2.m8.10724,675,2714,1450,1110,2547,582,1519,1222
plut2.m8.10725,1142,2777,3099,1265,4320,1632,1880,1041
plut2.m8.10726,0,0,12,0,0,0,9,0
plut2.m8.10727,115,175,0,53,83,100,102,188
plut2.m8.12652,0,8,19,0,19,0,80,0
plut2.m8.12653,91,137,39,92,176,86,106,13
plut2.m8.12656,78,208,27,31,131,26,30,62
plut2.m8.12657,93,240,87,146,356,37,133,24
plut2.m8.12654,16,30,0,14,0,62,0,0
plut2.m8.12655,0,1,4,0,0,0,0,0
plut2.m8.12658,1867,6311,1345,1694,3186,807,1811,1021
plut2.m8.12659,117,155,103,79,138,62,567,62
plut2.m8.25434,418,1038,1646,223,856,450,1781,549
jamg1.TU.xfSc0000081.16,0,0,0,947,4,0,1,1837
jamg1.TU.Sc0000004.5,3,7,6,4,5,0,1,15
plut2.m8.25436,549,373,159,331,935,546,1135,207
plut2.m8.4694,835,2156,5224,1442,2856,3214,5235,2485
plut2.m8.2030,268,20,118,34,176,80,326,110
plut2.m8.2031,0,0,0,0,0,0,0,0
plut2.m8.2032,38,17,16,0,52,0,0,0
plut2.m8.2033,0,0,16,27,192,188,125,0
plut2.m8.2034,18,12,0,50,0,86,112,54
plut2.m8.2035,13,27,5,58,18,0,47,10
plut2.m8.2036,48,225,974,84,133,56,317,39
plut2.m8.2037,0,0,169,0,0,0,0,8
plut2.m8.2038,189,281,2023,644,693,377,1240,559
plut2.m8.2039,46,76,18,63,77,17,54,37
jamg1.TU.Sc0000466.17,346,207,1130,207,345,684,789,56
jamg1.TU.Sc0000466.10,159,245,93,44,436,147,303,316
plut2.m8.14710,7,12,28,11,7,19,4,14
plut2.m8.14713,760,6091,7793,2262,7113,1404,2892,630
plut2.m8.14712,20,132,77,68,309,69,124,152
plut2.m8.14715,0,8,76,19,9,0,0,20
plut2.m8.14714,1025,1802,2986,804,2955,899,1434,830
plut2.m8.14717,4220,2793,2049,985,2845,2117,1954,664
plut2.m8.14716,3487,12445,15189,2713,14539,5106,11111,4158
plut2.m8.14719,5059,3975,2227,1597,4220,4288,4666,2828
plut2.m8.14718,5474,8292,14002,4283,10414,3500,5253,4115
plut2.m8.5215,0,0,0,8,0,0,0,0
plut2.m8.5214,5,55,74,68,66,31,0,0
plut2.m8.19196,0,0,0,0,147,0,0,0
plut2.m8.19197,0,8,9,5,0,0,0,0
plut2.m8.5211,102,220,38,40,203,31,69,60
plut2.m8.5213,205,247,65,101,311,63,107,52
plut2.m8.19193,7086,23310,13749,6690,22504,5786,7359,3316
plut2.m8.5563,7407,16724,15584,8371,19240,4816,14985,3969
plut2.m8.5562,217,48,0,23,47,84,49,12
plut2.m8.26640,66,135,96,56,175,0,63,22
plut2.m8.5560,0,0,0,0,33,0,0,9
plut2.m8.26646,1557,485,1774,329,954,257,1938,391
plut2.m8.5566,15097,15576,44046,9000,37605,14242,31629,6439
plut2.m8.5565,26,365,131,139,76,29,35,17
plut2.m8.5564,10109,2052,489,495,1362,2366,2524,424
plut2.m8.5569,84,145,93,54,241,4,263,22
plut2.m8.26649,0,27,43,45,13,0,0,21
plut2.m8.15448,1984,5023,4306,3087,5954,1647,2224,1271
plut2.m8.15449,615,774,1011,343,1146,618,1421,437
plut2.m8.25597,47,0,0,19,29,2,5,6
plut2.m8.25596,48,0,42,76,243,39,346,812
plut2.m8.25595,686,2859,6452,939,2519,0,1068,45
plut2.m8.15445,0,0,1,0,0,0,0,1
plut2.m8.15442,1514,5542,5789,2571,6358,2335,3154,1502
plut2.m8.15443,1,4,10,0,3,0,17,13
jamg1.TU.Sc0000238.8,142,359,46,66,246,84,119,39
plut2.m8.25590,8,16,70,68,4,1,20,2
plut2.m8.191,1422,317,0,17,57,715,354,5
plut2.m8.193,10,8,14,3,26,42,3,16
plut2.m8.194,773,177,0,17,76,240,206,0
plut2.m8.195,4,4,11,1,1,10,1,4
plut2.m8.196,10,42,103,20,103,2,9,6
jamg1.TU.Sc0000798.2,0,0,0,0,0,0,0,0
plut2.m8.198,805,229,118,90,177,3355,1863,674
plut2.m8.199,0,0,0,0,0,10,0,0
jamg1.TU.Sc0000685.4,0,0,0,0,0,0,0,0
jamg1.TU.Sc0000685.5,0,0,0,0,0,0,0,0
jamg1.TU.Sc0000097.16,104,0,0,0,113,52,0,11
plut2.m8.21034,13589,11991,6712,3618,8804,4734,18921,4892
plut2.m8.21035,1624,4325,9504,3379,7496,1263,1888,1202
